RAYON 20
Plaine -7 12
Plaine -6 12
Plaine -5 12
Plaine -4 12
Plaine -3 12
Ocean -2 12
Plaine -1 12
Plaine 0 12
Ocean 1 12
Plaine 2 12
Plaine 3 12
Plaine 4 12
Plaine 5 12
Plaine 6 12
Plaine 7 12
Montagne -19 11
Ocean -18 11
Montagne -17 11
Foret -16 11
Ocean -15 11
Plaine -14 11
Foret -13 11
Plaine -12 11
Ocean -11 11
Ocean -10 11
Plaine -9 11
Plaine -8 11
Plaine -7 11
Plaine -6 11
Plaine -5 11
Plaine -4 11
Plaine -3 11
Plaine -2 11
Ocean -1 11
Plaine 0 11
Plaine 1 11
Ocean 2 11
Plaine 3 11
Plaine 4 11
Plaine 5 11
Plaine 6 11
Plaine 7 11
Plaine 8 11
Montagne -19 10
Plaine -18 10
Ocean -17 10
Ocean -16 10
Foret -15 10
Ocean -14 10
Ocean -13 10
Plaine -12 10
Plaine -11 10
Plaine -10 10
Ocean -9 10
Ocean -8 10
Plaine -7 10
Plaine -6 10
Ocean -5 10
Plaine -4 10
Plaine -3 10
Plaine -2 10
Plaine -1 10
Ville 0 10
Plaine 1 10
Plaine 2 10
Plaine 3 10
Plaine 4 10
Plaine 5 10
Plaine 6 10
Ocean 7 10
Plaine 8 10
Plaine 9 10
Ocean -19 9
Foret -18 9
Montagne -17 9
Montagne -16 9
Ocean -15 9
Ocean -14 9
Ocean -13 9
Plaine -12 9
Plaine -11 9
Plaine -10 9
Plaine -9 9
Ocean -8 9
Ocean -7 9
Plaine -6 9
Plaine -5 9
Plaine -4 9
Plaine -3 9
Plaine -2 9
Plaine -1 9
Plaine 0 9
Plaine 1 9
Plaine 2 9
Ocean 3 9
Plaine 4 9
Plaine 5 9
Ocean 6 9
Plaine 7 9
Plaine 8 9
Plaine 9 9
Plaine 10 9
Montagne -19 8
Ocean -18 8
Ville -17 8
Ocean -16 8
Ocean -15 8
Foret -14 8
Ocean -13 8
Foret -12 8
Ocean -11 8
Ocean -10 8
Ocean -9 8
Ocean -8 8
Ocean -7 8
Plaine -6 8
Plaine -5 8
Plaine -4 8
Ocean -3 8
Ocean -2 8
Plaine -1 8
Plaine 0 8
Plaine 1 8
Plaine 2 8
Ocean 3 8
Plaine 4 8
Ocean 5 8
Ocean 6 8
Plaine 7 8
Plaine 8 8
Plaine 9 8
Plaine 10 8
Plaine 11 8
Montagne -19 7
Ocean -18 7
Montagne -17 7
Montagne -16 7
Foret -15 7
Ocean -14 7
Ocean -13 7
Ocean -12 7
Ocean -11 7
Ocean -10 7
Ocean -9 7
Plaine -8 7
Ocean -7 7
Plaine -6 7
Ocean -5 7
Plaine -4 7
Plaine -3 7
Plaine -2 7
Plaine -1 7
Plaine 0 7
Plaine 1 7
Plaine 2 7
Plaine 3 7
Plaine 4 7
Plaine 5 7
Plaine 6 7
Plaine 7 7
Plaine 8 7
Ocean 9 7
Plaine 10 7
Plaine 11 7
Plaine 12 7
Montagne -19 6
Ocean -18 6
Ocean -17 6
Foret -16 6
Ocean -15 6
Foret -14 6
Ocean -13 6
Plaine -12 6
Ocean -11 6
Ocean -10 6
Ocean -9 6
Plaine -8 6
Ville -7 6
Plaine -6 6
Ocean -5 6
Ocean -4 6
Plaine -3 6
Plaine -2 6
Plaine -1 6
Ocean 0 6
Plaine 1 6
Plaine 2 6
Ville 3 6
Plaine 4 6
Plaine 5 6
Plaine 6 6
Plaine 7 6
Plaine 8 6
Plaine 9 6
Ocean 10 6
Plaine 11 6
Plaine 12 6
Plaine 13 6
Foret -19 5
Foret -18 5
Foret -17 5
Ocean -16 5
Ocean -15 5
Foret -14 5
Ocean -13 5
Ocean -12 5
Plaine -11 5
Ocean -10 5
Ocean -9 5
Ocean -8 5
Ocean -7 5
Plaine -6 5
Ocean -5 5
Plaine -4 5
Plaine -3 5
Plaine -2 5
Ocean -1 5
Plaine 0 5
Plaine 1 5
Plaine 2 5
Plaine 3 5
Plaine 4 5
Plaine 5 5
Ville 6 5
Plaine 7 5
Plaine 8 5
Plaine 9 5
Plaine 10 5
Plaine 11 5
Plaine 12 5
Ocean 13 5
Plaine 14 5
Ocean -19 4
Foret -18 4
Montagne -17 4
Ocean -16 4
Foret -15 4
Montagne -14 4
Ocean -13 4
Ocean -12 4
Ocean -11 4
Plaine -10 4
Ocean -9 4
Plaine -8 4
Ocean -7 4
Ocean -6 4
Plaine -5 4
Plaine -4 4
Plaine -3 4
Plaine -2 4
Plaine -1 4
Plaine 0 4
Plaine 1 4
Ocean 2 4
Plaine 3 4
Plaine 4 4
Ocean 5 4
Plaine 6 4
Plaine 7 4
Ville 8 4
Plaine 9 4
Plaine 10 4
Plaine 11 4
Plaine 12 4
Plaine 13 4
Ville 14 4
Plaine 15 4
Montagne -19 3
Ocean -18 3
Foret -17 3
Foret -16 3
Foret -15 3
Foret -14 3
Ocean -13 3
Ocean -12 3
Ocean -11 3
Ocean -10 3
Ocean -9 3
Plaine -8 3
Plaine -7 3
Plaine -6 3
Ocean -5 3
Plaine -4 3
Plaine -3 3
Plaine -2 3
Ocean -1 3
Plaine 0 3
Plaine 1 3
Plaine 2 3
Plaine 3 3
Plaine 4 3
Plaine 5 3
Plaine 6 3
Plaine 7 3
Ocean 8 3
Plaine 9 3
Plaine 10 3
Plaine 11 3
Plaine 12 3
Plaine 13 3
Ocean 14 3
Plaine 15 3
Plaine 16 3
Montagne -19 2
Montagne -18 2
Foret -17 2
Ocean -16 2
Foret -15 2
Foret -14 2
Ocean -13 2
Ocean -12 2
Ocean -11 2
Ocean -10 2
Plaine -9 2
Plaine -8 2
Plaine -7 2
Ocean -6 2
Plaine -5 2
Ocean -4 2
Ocean -3 2
Plaine -2 2
Plaine -1 2
Plaine 0 2
Plaine 1 2
Plaine 2 2
Plaine 3 2
Ocean 4 2
Plaine 5 2
Ocean 6 2
Plaine 7 2
Ocean 8 2
Plaine 9 2
Plaine 10 2
Plaine 11 2
Plaine 12 2
Plaine 13 2
Plaine 14 2
Ocean 15 2
Plaine 16 2
Plaine 17 2
Montagne -19 1
Foret -18 1
Ocean -17 1
Foret -16 1
Foret -15 1
Foret -14 1
Foret -13 1
Plaine -12 1
Plaine -11 1
Plaine -10 1
Ocean -9 1
Ocean -8 1
Plaine -7 1
Plaine -6 1
Ocean -5 1
Ocean -4 1
Plaine -3 1
Plaine -2 1
Plaine -1 1
Plaine 0 1
Plaine 1 1
Plaine 2 1
Plaine 3 1
Plaine 4 1
Plaine 5 1
Ocean 6 1
Plaine 7 1
Plaine 8 1
Plaine 9 1
Plaine 10 1
Plaine 11 1
Plaine 12 1
Plaine 13 1
Plaine 14 1
Plaine 15 1
Plaine 16 1
Ville 17 1
Plaine 18 1
Ocean -19 0
Foret -18 0
Foret -17 0
Foret -16 0
Ville -15 0
Foret -14 0
Foret -13 0
Plaine -12 0
Plaine -11 0
Plaine -10 0
Ocean -9 0
Ville -8 0
Ocean -7 0
Plaine -6 0
Plaine -5 0
Ocean -4 0
Ocean -3 0
Ocean -2 0
Plaine -1 0
Plaine 0 0
Plaine 1 0
Plaine 2 0
Plaine 3 0
Plaine 4 0
Plaine 5 0
Ocean 6 0
Plaine 7 0
Plaine 8 0
Plaine 9 0
Plaine 10 0
Plaine 11 0
Plaine 12 0
Plaine 13 0
Plaine 14 0
Ocean 15 0
Ocean 16 0
Ocean 17 0
Plaine 18 0
Plaine 19 0
Foret -18 -1
Ocean -17 -1
Ocean -16 -1
Foret -15 -1
Foret -14 -1
Ocean -13 -1
Plaine -12 -1
Plaine -11 -1
Ocean -10 -1
Plaine -9 -1
Plaine -8 -1
Plaine -7 -1
Plaine -6 -1
Plaine -5 -1
Ocean -4 -1
Ocean -3 -1
Plaine -2 -1
Ocean -1 -1
Plaine 0 -1
Plaine 1 -1
Plaine 2 -1
Ocean 3 -1
Plaine 4 -1
Plaine 5 -1
Plaine 6 -1
Plaine 7 -1
Plaine 8 -1
Plaine 9 -1
Plaine 10 -1
Plaine 11 -1
Ocean 12 -1
Ocean 13 -1
Plaine 14 -1
Plaine 15 -1
Ocean 16 -1
Ocean 17 -1
Ocean 18 -1
Plaine 19 -1
Foret -17 -2
Ville -16 -2
Foret -15 -2
Montagne -14 -2
Ocean -13 -2
Ocean -12 -2
Ocean -11 -2
Plaine -10 -2
Plaine -9 -2
Ocean -8 -2
Ocean -7 -2
Ocean -6 -2
Ocean -5 -2
Ocean -4 -2
Ocean -3 -2
Ocean -2 -2
Plaine -1 -2
Ocean 0 -2
Plaine 1 -2
Ville 2 -2
Plaine 3 -2
Plaine 4 -2
Plaine 5 -2
Plaine 6 -2
Plaine 7 -2
Ocean 8 -2
Plaine 9 -2
Plaine 10 -2
Plaine 11 -2
Plaine 12 -2
Ville 13 -2
Plaine 14 -2
Ocean 15 -2
Plaine 16 -2
Plaine 17 -2
Ocean 18 -2
Ocean 19 -2
Ocean -16 -3
Foret -15 -3
Foret -14 -3
Ocean -13 -3
Ocean -12 -3
Plaine -11 -3
Plaine -10 -3
Plaine -9 -3
Plaine -8 -3
Plaine -7 -3
Ocean -6 -3
Ocean -5 -3
Ocean -4 -3
Ocean -3 -3
Ocean -2 -3
Ville -1 -3
Ocean 0 -3
Ocean 1 -3
Plaine 2 -3
Plaine 3 -3
Plaine 4 -3
Ocean 5 -3
Plaine 6 -3
Ocean 7 -3
Plaine 8 -3
Ocean 9 -3
Ocean 10 -3
Ocean 11 -3
Plaine 12 -3
Plaine 13 -3
Plaine 14 -3
Ocean 15 -3
Ocean 16 -3
Plaine 17 -3
Ocean 18 -3
Ocean 19 -3
Foret -15 -4
Ville -14 -4
Foret -13 -4
Ocean -12 -4
Ocean -11 -4
Ocean -10 -4
Ocean -9 -4
Ocean -8 -4
Ocean -7 -4
Ville -6 -4
Ocean -5 -4
Plaine -4 -4
Ocean -3 -4
Ocean -2 -4
Ocean -1 -4
Plaine 0 -4
Plaine 1 -4
Plaine 2 -4
Plaine 3 -4
Ocean 4 -4
Ville 5 -4
Plaine 6 -4
Plaine 7 -4
Plaine 8 -4
Plaine 9 -4
Ville 10 -4
Ocean 11 -4
Ocean 12 -4
Plaine 13 -4
Ocean 14 -4
Ocean 15 -4
Plaine 16 -4
Plaine 17 -4
Plaine 18 -4
Ocean 19 -4
Ocean -14 -5
Ocean -13 -5
Plaine -12 -5
Foret -11 -5
Foret -10 -5
Ocean -9 -5
Ocean -8 -5
Ocean -7 -5
Plaine -6 -5
Plaine -5 -5
Plaine -4 -5
Ocean -3 -5
Plaine -2 -5
Plaine -1 -5
Plaine 0 -5
Plaine 1 -5
Ocean 2 -5
Plaine 3 -5
Ocean 4 -5
Ocean 5 -5
Plaine 6 -5
Plaine 7 -5
Plaine 8 -5
Plaine 9 -5
Plaine 10 -5
Plaine 11 -5
Ocean 12 -5
Plaine 13 -5
Ocean 14 -5
Ocean 15 -5
Ocean 16 -5
Ocean 17 -5
Plaine 18 -5
Ocean 19 -5
Foret -13 -6
Plaine -12 -6
Plaine -11 -6
Ocean -10 -6
Ocean -9 -6
Ocean -8 -6
Ocean -7 -6
Ocean -6 -6
Plaine -5 -6
Ocean -4 -6
Plaine -3 -6
Plaine -2 -6
Plaine -1 -6
Plaine 0 -6
Plaine 1 -6
Plaine 2 -6
Plaine 3 -6
Ocean 4 -6
Plaine 5 -6
Plaine 6 -6
Plaine 7 -6
Plaine 8 -6
Plaine 9 -6
Plaine 10 -6
Ville 11 -6
Plaine 12 -6
Plaine 13 -6
Plaine 14 -6
Plaine 15 -6
Plaine 16 -6
Plaine 17 -6
Plaine 18 -6
Plaine 19 -6
Ocean -12 -7
Ocean -11 -7
Foret -10 -7
Plaine -9 -7
Plaine -8 -7
Plaine -7 -7
Ocean -6 -7
Plaine -5 -7
Plaine -4 -7
Plaine -3 -7
Ocean -2 -7
Ocean -1 -7
Plaine 0 -7
Ocean 1 -7
Plaine 2 -7
Ocean 3 -7
Ville 4 -7
Plaine 5 -7
Plaine 6 -7
Plaine 7 -7
Plaine 8 -7
Plaine 9 -7
Plaine 10 -7
Ocean 11 -7
Ocean 12 -7
Plaine 13 -7
Plaine 14 -7
Plaine 15 -7
Plaine 16 -7
Plaine 17 -7
Plaine 18 -7
Plaine 19 -7
Ocean -11 -8
Plaine -10 -8
Ville -9 -8
Ocean -8 -8
Ocean -7 -8
Ocean -6 -8
Ocean -5 -8
Ocean -4 -8
Ocean -3 -8
Ocean -2 -8
Ocean -1 -8
Plaine 0 -8
Plaine 1 -8
Ocean 2 -8
Plaine 3 -8
Plaine 4 -8
Plaine 5 -8
Plaine 6 -8
Plaine 7 -8
Plaine 8 -8
Ocean 9 -8
Ocean 10 -8
Ocean 11 -8
Plaine 12 -8
Plaine 13 -8
Plaine 14 -8
Ocean 15 -8
Plaine 16 -8
Plaine 17 -8
Plaine 18 -8
Plaine 19 -8
Ocean -10 -9
Ocean -9 -9
Ocean -8 -9
Foret -7 -9
Ocean -6 -9
Ocean -5 -9
Plaine -4 -9
Plaine -3 -9
Ville -2 -9
Plaine -1 -9
Ocean 0 -9
Ocean 1 -9
Plaine 2 -9
Ocean 3 -9
Plaine 4 -9
Plaine 5 -9
Plaine 6 -9
Plaine 7 -9
Plaine 8 -9
Ocean 9 -9
Ocean 10 -9
Ocean 11 -9
Plaine 12 -9
Plaine 13 -9
Plaine 14 -9
Ocean 15 -9
Ocean 16 -9
Plaine 17 -9
Plaine 18 -9
Ocean 19 -9
Plaine -9 -10
Ocean -8 -10
Ocean -7 -10
Ocean -6 -10
Ville -5 -10
Ville -4 -10
Plaine -3 -10
Plaine -2 -10
Plaine -1 -10
Ocean 0 -10
Plaine 1 -10
Ocean 2 -10
Plaine 3 -10
Ocean 4 -10
Ocean 5 -10
Ocean 6 -10
Plaine 7 -10
Plaine 8 -10
Plaine 9 -10
Plaine 10 -10
Plaine 11 -10
Plaine 12 -10
Plaine 13 -10
Plaine 14 -10
Ocean 15 -10
Ocean 16 -10
Plaine 17 -10
Plaine 18 -10
Plaine 19 -10
Ocean -8 -11
Foret -7 -11
Ocean -6 -11
Plaine -5 -11
Ocean -4 -11
Ocean -3 -11
Ocean -2 -11
Ocean -1 -11
Ocean 0 -11
Plaine 1 -11
Ocean 2 -11
Plaine 3 -11
Ocean 4 -11
Ocean 5 -11
Plaine 6 -11
Ocean 7 -11
Ocean 8 -11
Plaine 9 -11
Ocean 10 -11
Plaine 11 -11
Ocean 12 -11
Plaine 13 -11
Plaine 14 -11
Ocean 15 -11
Ocean 16 -11
Plaine 17 -11
Plaine 18 -11
Plaine 19 -11
Plaine -7 -12
Ocean -6 -12
Ocean -5 -12
Ocean -4 -12
Foret -3 -12
Ocean -2 -12
Plaine -1 -12
Ocean 0 -12
Ocean 1 -12
Plaine 2 -12
Ocean 3 -12
Foret 4 -12
Foret 5 -12
Plaine 6 -12
Foret 7 -12
Plaine 8 -12
Ocean 9 -12
Ocean 10 -12
Ocean 11 -12
Ocean 12 -12
Foret 13 -12
Ocean 14 -12
Foret 15 -12
Ocean 16 -12
Ocean 17 -12
Foret 18 -12
Ocean 19 -12
Foret -6 -13
Plaine -5 -13
Foret -4 -13
Plaine -3 -13
Ocean -2 -13
Ocean -1 -13
Foret 0 -13
Foret 1 -13
Foret 2 -13
Ocean 3 -13
Ocean 4 -13
Plaine 5 -13
Foret 6 -13
Plaine 7 -13
Ocean 8 -13
Plaine 9 -13
Ocean 10 -13
Foret 11 -13
Ocean 12 -13
Ocean 13 -13
Foret 14 -13
Ocean 15 -13
Foret 16 -13
Foret 17 -13
Foret 18 -13
Foret 19 -13
Ocean -5 -14
Ocean -4 -14
Foret -3 -14
Ocean -2 -14
Ocean -1 -14
Ocean 0 -14
Foret 1 -14
Ocean 2 -14
Ocean 3 -14
Foret 4 -14
Foret 5 -14
Ocean 6 -14
Ocean 7 -14
Ocean 8 -14
Foret 9 -14
Plaine 10 -14
Foret 11 -14
Foret 12 -14
Ocean 13 -14
Plaine 14 -14
Foret 15 -14
Foret 16 -14
Ocean 17 -14
Ocean 18 -14
Foret 19 -14
Plaine -4 -15
Ocean -3 -15
Ocean -2 -15
Foret -1 -15
Foret 0 -15
Montagne 1 -15
Foret 2 -15
Foret 3 -15
Foret 4 -15
Ocean 5 -15
Ocean 6 -15
Foret 7 -15
Montagne 8 -15
Ville 9 -15
Ocean 10 -15
Foret 11 -15
Foret 12 -15
Ocean 13 -15
Foret 14 -15
Foret 15 -15
Foret 16 -15
Montagne 17 -15
Foret 18 -15
Ocean 19 -15
Foret -3 -16
Foret -2 -16
Montagne -1 -16
Foret 0 -16
Foret 1 -16
Ocean 2 -16
Ocean 3 -16
Foret 4 -16
Ocean 5 -16
Foret 6 -16
Ville 7 -16
Foret 8 -16
Ocean 9 -16
Ocean 10 -16
Ocean 11 -16
Foret 12 -16
Foret 13 -16
Ocean 14 -16
Ville 15 -16
Montagne 16 -16
Foret 17 -16
Foret 18 -16
Ville 19 -16
Ocean -2 -17
Foret -1 -17
Ocean 0 -17
Foret 1 -17
Ocean 2 -17
Montagne 3 -17
Foret 4 -17
Ocean 5 -17
Foret 6 -17
Foret 7 -17
Foret 8 -17
Montagne 9 -17
Ocean 10 -17
Montagne 11 -17
Foret 12 -17
Foret 13 -17
Montagne 14 -17
Ocean 15 -17
Ville 16 -17
Foret 17 -17
Ocean 18 -17
Montagne 19 -17
Foret -1 -18
Montagne 0 -18
Ocean 1 -18
Montagne 2 -18
Ocean 3 -18
Montagne 4 -18
Ocean 5 -18
Ocean 6 -18
Foret 7 -18
Ocean 8 -18
Montagne 9 -18
Foret 10 -18
Foret 11 -18
Foret 12 -18
Ocean 13 -18
Montagne 14 -18
Montagne 15 -18
Ocean 16 -18
Montagne 17 -18
Foret 18 -18
Montagne 19 -18
Montagne 0 -19
Montagne 1 -19
Montagne 2 -19
Montagne 3 -19
Montagne 4 -19
Montagne 5 -19
Montagne 6 -19
Ocean 7 -19
Ocean 8 -19
Montagne 9 -19
Ocean 10 -19
Montagne 11 -19
Ville 12 -19
Montagne 13 -19
Ocean 14 -19
Ocean 15 -19
Montagne 16 -19
Ocean 17 -19
Foret 18 -19
Ocean 19 -19
JOUEUR IA
Archer 7 -16 500 100
Caravane 7 -15 500 100
JOUEUR IA
Archer 12 -19 500 100
Caravane 12 -18 500 100
